Comunidad autónoma,Grupo,Año,Mes,IPC
Castilla y León,Restaurantes y hoteles,2020,Abril,107.356
Castilla y León,Restaurantes y hoteles,2020,Marzo,106.353
Castilla y León,Restaurantes y hoteles,2020,Febrero,106.023
Castilla y León,Restaurantes y hoteles,2020,Enero,105.262
Castilla y León,Otros bienes y servicios ,2020,Mayo,104.099
Castilla y León,Otros bienes y servicios ,2020,Abril,103.893
Castilla y León,Otros bienes y servicios ,2020,Marzo,103.667
Castilla y León,Otros bienes y servicios ,2020,Febrero,103.593
Castilla y León,Otros bienes y servicios ,2020,Enero,103.181
Castilla - La Mancha,Alimentos y bebidas no alcohólicas,2020,Mayo,107.879
Castilla - La Mancha,Alimentos y bebidas no alcohólicas,2020,Abril,108.035
Castilla - La Mancha,Alimentos y bebidas no alcohólicas,2020,Marzo,106.7
Castilla - La Mancha,Alimentos y bebidas no alcohólicas,2020,Febrero,106.511
Castilla - La Mancha,Alimentos y bebidas no alcohólicas,2020,Enero,105.936
Castilla - La Mancha,Bebidas alcohólicas y tabaco,2020,Mayo,104.79
Castilla - La Mancha,Bebidas alcohólicas y tabaco,2020,Abril,104.825
Castilla - La Mancha,Bebidas alcohólicas y tabaco,2020,Marzo,104.651
Castilla - La Mancha,Bebidas alcohólicas y tabaco,2020,Febrero,104.703
